,symbol,name,sector
0,MMM,3M,Industrials
1,ABT,Abbott Laboratories,Health Care
2,ABBV,AbbVie,Health Care
3,ABMD,Abiomed,Health Care
4,ACN,Accenture,Information Technology
5,ATVI,Activision Blizzard,Communication Services
6,ADBE,Adobe,Information Technology
7,AMD,Advanced Micro Devices,Information Technology
8,AAP,Advance Auto Parts,Consumer Discretionary
9,AES,AES Corp,Utilities
10,AFL,Aflac,Financials
11,A,Agilent Technologies,Health Care
12,APD,Air Products & Chemicals,Materials
13,AKAM,Akamai Technologies,Information Technology
14,ALK,Alaska Air Group,Industrials
15,ALB,Albemarle Corporation,Materials
16,ARE,Alexandria Real Estate Equities,Real Estate
17,ALGN,Align Technology,Health Care
18,ALLE,Allegion,Industrials
19,LNT,Alliant Energy,Utilities
20,ALL,Allstate Corp,Financials
21,GOOGL,Alphabet (Class A),Communication Services
22,GOOG,Alphabet (Class C),Communication Services
23,MO,Altria Group,Consumer Staples
24,AMZN,Amazon,Consumer Discretionary
25,AMCR,Amcor,Materials
26,AEE,Ameren Corp,Utilities
27,AAL,American Airlines Group,Industrials
28,AEP,American Electric Power,Utilities
29,AXP,American Express,Financials
30,AIG,American International Group,Financials
31,AMT,American Tower,Real Estate
32,AWK,American Water Works,Utilities
33,AMP,Ameriprise Financial,Financials
34,ABC,AmerisourceBergen,Health Care
35,AME,Ametek,Industrials
36,AMGN,Amgen,Health Care
37,APH,Amphenol Corp,Information Technology
38,ADI,Analog Devices,Information Technology
39,ANSS,Ansys,Information Technology
40,ANTM,Anthem,Health Care
41,AON,Aon,Financials
42,AOS,A. O. Smith,Industrials
43,APA,APA Corporation,Energy
44,AAPL,Apple,Information Technology
45,AMAT,Applied Materials,Information Technology
46,APTV,Aptiv,Consumer Discretionary
47,ADM,ADM,Consumer Staples
48,ANET,Arista Networks,Information Technology
49,AJG,Arthur J. Gallagher & Co.,Financials
50,AIZ,Assurant,Financials
51,T,AT&T,Communication Services
52,ATO,Atmos Energy,Utilities
53,ADSK,Autodesk,Information Technology
54,ADP,Automatic Data Processing,Information Technology
55,AZO,AutoZone,Consumer Discretionary
56,AVB,AvalonBay Communities,Real Estate
57,AVY,Avery Dennison,Materials
58,BKR,Baker Hughes,Energy
59,BLL,Ball Corp,Materials
60,BAC,Bank of America,Financials
61,BK,BNY Mellon,Financials
62,BAX,Baxter International,Health Care
63,BDX,Becton Dickinson,Health Care
64,BRK.B,Berkshire Hathaway,Financials
65,BBY,Best Buy,Consumer Discretionary
66,BIO,Bio-Rad Laboratories,Health Care
67,BIIB,Biogen,Health Care
68,BLK,BlackRock,Financials
69,BA,Boeing Company,Industrials
70,BKNG,Booking Holdings,Consumer Discretionary
71,BWA,BorgWarner,Consumer Discretionary
72,BXP,Boston Properties,Real Estate
73,BSX,Boston Scientific,Health Care
74,BMY,Bristol-Myers Squibb,Health Care
75,AVGO,Broadcom,Information Technology
76,BR,Broadridge Financial Solutions,Information Technology
77,BF.B,Brown–Forman,Consumer Staples
78,CHRW,C. H. Robinson,Industrials
79,COG,Cabot Oil & Gas,Energy
80,CDNS,Cadence Design Systems,Information Technology
81,CZR,Caesars Entertainment,Consumer Discretionary
82,CPB,Campbell Soup,Consumer Staples
83,COF,Capital One Financial,Financials
84,CAH,Cardinal Health,Health Care
85,KMX,CarMax,Consumer Discretionary
86,CCL,Carnival Corporation,Consumer Discretionary
87,CARR,Carrier Global,Industrials
88,CTLT,Catalent,Health Care
89,CAT,Caterpillar,Industrials
90,CBOE,Cboe Global Markets,Financials
91,CBRE,CBRE,Real Estate
92,CDW,CDW,Information Technology
93,CE,Celanese,Materials
94,CNC,Centene Corporation,Health Care
95,CNP,CenterPoint Energy,Utilities
96,CERN,Cerner,Health Care
97,CF,CF Industries,Materials
98,CRL,Charles River Laboratories,Health Care
99,SCHW,Charles Schwab Corporation,Financials
100,CHTR,Charter Communications,Communication Services
101,CVX,Chevron Corporation,Energy
102,CMG,Chipotle Mexican Grill,Consumer Discretionary
103,CB,Chubb,Financials
104,CHD,Church & Dwight,Consumer Staples
105,CI,Cigna,Health Care
106,CINF,Cincinnati Financial,Financials
107,CTAS,Cintas Corporation,Industrials
108,CSCO,Cisco Systems,Information Technology
109,C,Citigroup,Financials
110,CFG,Citizens Financial Group,Financials
111,CTXS,Citrix Systems,Information Technology
112,CLX,Clorox,Consumer Staples
113,CME,CME Group,Financials
114,CMS,CMS Energy,Utilities
115,KO,Coca-Cola Company,Consumer Staples
116,CTSH,Cognizant Technology Solutions,Information Technology
117,CL,Colgate-Palmolive,Consumer Staples
118,CMCSA,Comcast,Communication Services
119,CMA,Comerica,Financials
120,CAG,Conagra Brands,Consumer Staples
121,COP,ConocoPhillips,Energy
122,ED,Consolidated Edison,Utilities
123,STZ,Constellation Brands,Consumer Staples
124,COO,The Cooper Companies,Health Care
125,CPRT,Copart,Industrials
126,GLW,Corning,Information Technology
127,CTVA,Corteva,Materials
128,COST,Costco,Consumer Staples
129,CCI,Crown Castle,Real Estate
130,CSX,CSX,Industrials
131,CMI,Cummins,Industrials
132,CVS,CVS Health,Health Care
133,DHI,D. R. Horton,Consumer Discretionary
134,DHR,Danaher Corporation,Health Care
135,DRI,Darden Restaurants,Consumer Discretionary
136,DVA,DaVita,Health Care
137,DE,Deere & Co.,Industrials
138,DAL,Delta Air Lines,Industrials
139,XRAY,Dentsply Sirona,Health Care
140,DVN,Devon Energy,Energy
141,DXCM,DexCom,Health Care
142,FANG,Diamondback Energy,Energy
143,DLR,Digital Realty Trust,Real Estate
144,DFS,Discover Financial Services,Financials
145,DISCA,Discovery (Series A),Communication Services
146,DISCK,Discovery (Series C),Communication Services
147,DISH,Dish Network,Communication Services
148,DG,Dollar General,Consumer Discretionary
149,DLTR,Dollar Tree,Consumer Discretionary
150,D,Dominion Energy,Utilities
151,DPZ,Domino's Pizza,Consumer Discretionary
152,DOV,Dover Corporation,Industrials
153,DOW,Dow,Materials
154,DTE,DTE Energy,Utilities
155,DUK,Duke Energy,Utilities
156,DRE,Duke Realty Corp,Real Estate
157,DD,DuPont,Materials
158,DXC,DXC Technology,Information Technology
159,EMN,Eastman Chemical,Materials
160,ETN,Eaton Corporation,Industrials
161,EBAY,eBay,Consumer Discretionary
162,ECL,Ecolab,Materials
163,EIX,Edison International,Utilities
164,EW,Edwards Lifesciences,Health Care
165,EA,Electronic Arts,Communication Services
166,EMR,Emerson Electric Company,Industrials
167,ENPH,Enphase Energy,Information Technology
168,ETR,Entergy,Utilities
169,EOG,EOG Resources,Energy
170,EFX,Equifax,Industrials
171,EQIX,Equinix,Real Estate
172,EQR,Equity Residential,Real Estate
173,ESS,Essex Property Trust,Real Estate
174,EL,Estée Lauder Companies,Consumer Staples
175,ETSY,Etsy,Consumer Discretionary
176,EVRG,Evergy,Utilities
177,ES,Eversource Energy,Utilities
178,RE,Everest Re,Financials
179,EXC,Exelon,Utilities
180,EXPE,Expedia Group,Consumer Discretionary
181,EXPD,Expeditors,Industrials
182,EXR,Extra Space Storage,Real Estate
183,XOM,ExxonMobil,Energy
184,FFIV,F5 Networks,Information Technology
185,FB,Facebook,Communication Services
186,FAST,Fastenal,Industrials
187,FRT,Federal Realty Investment Trust,Real Estate
188,FDX,FedEx,Industrials
189,FIS,Fidelity National Information Services,Information Technology
190,FITB,Fifth Third Bancorp,Financials
191,FE,FirstEnergy,Utilities
192,FRC,First Republic Bank,Financials
193,FISV,Fiserv,Information Technology
194,FLT,Fleetcor,Information Technology
195,FMC,FMC Corporation,Materials
196,F,Ford,Consumer Discretionary
197,FTNT,Fortinet,Information Technology
198,FTV,Fortive,Industrials
199,FBHS,Fortune Brands Home & Security,Industrials
200,FOXA,Fox Corporation (Class A),Communication Services
201,FOX,Fox Corporation (Class B),Communication Services
202,BEN,Franklin Resources,Financials
203,FCX,Freeport-McMoRan,Materials
204,GPS,Gap,Consumer Discretionary
205,GRMN,Garmin,Consumer Discretionary
206,IT,Gartner,Information Technology
207,GNRC,Generac Holdings,Industrials
208,GD,General Dynamics,Industrials
209,GE,General Electric,Industrials
210,GIS,General Mills,Consumer Staples
211,GM,General Motors,Consumer Discretionary
212,GPC,Genuine Parts,Consumer Discretionary
213,GILD,Gilead Sciences,Health Care
214,GL,Globe Life,Financials
215,GPN,Global Payments,Information Technology
216,GS,Goldman Sachs,Financials
217,GWW,W. W. Grainger,Industrials
218,HAL,Halliburton,Energy
219,HBI,Hanesbrands,Consumer Discretionary
220,HIG,The Hartford,Financials
221,HAS,Hasbro,Consumer Discretionary
222,HCA,HCA Healthcare,Health Care
223,PEAK,Healthpeak Properties,Real Estate
224,HSIC,Henry Schein,Health Care
